Name,StartYear,EndYear,Party
George Washington,1789,1797,Other
John Adams,1797,1801,Other
Thomas Jefferson,1801,1809,Other
James Madison,1809,1817,Other
James Monroe,1817,1825,Other
John Quincy Adams,1825,1829,Other
Andrew Jackson,1829,1837,Democrat
Martin Van Buren,1837,1841,Democrat
William H. Harrison,1841,1841,Other
John Tyler,1841,1845,Other
James K. Polk,1841,1849,Democrat
Zachary Taylor,1849,1850,Other
Millard Fillmore,1850,1853,Other
Franklin Pierce,1853,1857,Democrat
James Buchanan,1857,1861,Democrat
Abraham Lincoln,1861,1865,Republican
Andrew Johnson,1865,1869,Democrat
Ulysses S. Grant,1869,1877,Republican
Rutherford B. Hayes,1877,1881,Republican
James A. Garfield,1881,1881,Republican
Chester A. Arthur,1881,1885,Republican
Grover Cleveland,1885,1889,Democrat
Benjamin Harrison,1889,1893,Republican
Grover Cleveland,1893,1897,Democrat
William McKinley,1897,1901,Republican
Theodore Roosevelt,1901,1909,Republican
William H. Taft,1909,1913,Republican
Woodrow Wilson,1913,1921,Democrat
Warren G. Harding,1921,1923,Republican
Calvin Coolidge,1923,1929,Republican
Herbert Hoover,1929,1933,Republican
Franklin D. Roosevelt,1933,1945,Democrat
Harry S. Truman,1945,1953,Democrat
Dwight D. Eisenhower,1953,1961,Republican
John F. Kennedy,1961,1963,Democrat
Lyndon B. Johnson,1963,1969,Democrat
Richard M. Nixon,1969,1974,Republican
Gerald R. Ford,1974,1977,Republican
Jimmy Carter,1977,1981,Democrat
Ronald Reagan,1981,1989,Republican
George H. W. Bush,1989,1993,Republican
Bill Clinton,1993,2001,Democrat
George W. Bush,2001,2009,Republican
Barack Hussein Obama,2009,2017,Democrat
